timeOpen,open,high,low,close,volume,marketCap,Crypt
"Monday, June 15, 2026",65711.11,67248.14,65315.84,66289.50,32927321949.90,1328655958361.54,BTC
"Sunday, June 14, 2026",64420.17,65749.78,63634.02,65710.40,21572226974.90,1317035177870.21,BTC
"Saturday, June 13, 2026",63541.52,64700.88,63431.32,64421.33,16956245529.80,1291132737641.91,BTC
"Friday, June 12, 2026",63547.44,64334.01,62778.79,63543.20,26881868306.76,1273496844988.74,BTC
"Thursday, June 11, 2026",61448.88,63851.95,61447.97,63561.05,29316677896.86,1273587388941.15,BTC
"Wednesday, June 10, 2026",61643.21,62788.28,60788.02,61449.29,27493506778.77,1231470865193.39,BTC
"Tuesday, June 9, 2026",63092.89,63486.09,60756.69,61643.78,40144449753.90,1235273614545.07,BTC
"Monday, June 8, 2026",63244.09,64185.77,62384.67,63090.59,34133252456.98,1264323887940.88,BTC
"Sunday, June 7, 2026",60866.94,64128.04,60724.07,63239.52,36006496194.45,1267353724039.75,BTC
"Saturday, June 6, 2026",60924.48,61491.70,59496.62,60867.41,30898464956.66,1219717907783.30,BTC
"Friday, June 5, 2026",63807.69,63901.52,59108.92,60922.67,71465606705.50,1220870892429.14,BTC
"Thursday, June 4, 2026",64020.07,64664.44,61335.75,63801.57,63800151779.66,1278626406202.74,BTC
"Wednesday, June 3, 2026",66694.01,67402.93,64009.68,64014.37,47411556212.70,1282854116781.77,BTC
"Tuesday, June 2, 2026",71321.03,71334.95,66127.27,66703.66,54990073882.29,1336413227400.86,BTC
"Monday, June 1, 2026",73580.21,73969.57,70599.51,71319.77,43378836121.26,1429102929367.69,BTC
"Sunday, May 31, 2026",73753.75,74153.50,73315.02,73579.69,17445435649.92,1474300356230.54,BTC
"Saturday, May 30, 2026",73370.85,74020.76,73125.23,73754.84,19563589191.48,1477777636228.11,BTC
"Friday, May 29, 2026",73537.03,74218.56,72435.62,73372.53,34457929249.79,1470080324556.55,BTC
"Thursday, May 28, 2026",74339.57,74460.12,72493.41,73536.56,40148145326.67,1473376188553.66,BTC
"Wednesday, May 27, 2026",75825.30,76014.30,74136.50,74344.70,33802172926.84,1489419525327.64,BTC
"Tuesday, May 26, 2026",77280.13,77990.87,75569.47,75825.73,35999475458.05,1519154446681.98,BTC
"Monday, May 25, 2026",76981.13,77804.92,76833.04,77279.93,19808387600.73,1548267009573.96,BTC
"Sunday, May 24, 2026",76670.66,77372.54,76019.89,76981.13,20572738918.12,1542235488502.50,BTC
"Saturday, May 23, 2026",75488.31,77288.12,74255.23,76673.37,29973220001.63,1535984902703.76,BTC
"Friday, May 22, 2026",77538.11,77819.45,75323.88,75488.24,27859040109.13,1512261064568.46,BTC
"Thursday, May 21, 2026",77462.51,78100.56,76655.44,77539.17,27141485403.56,1553287066453.40,BTC
"Wednesday, May 20, 2026",76749.45,77775.57,76463.65,77457.77,26668360935.71,1551741518628.54,BTC
"Tuesday, May 19, 2026",76954.75,77346.87,76082.37,76750.90,26031898331.65,1537421234223.15,BTC
"Monday, May 18, 2026",77426.34,77749.32,76029.22,76954.18,41520471808.40,1541500358225.66,BTC
"Sunday, May 17, 2026",78133.59,78539.40,76783.41,77429.36,20900166465.06,1550887802455.22,BTC
"Saturday, May 16, 2026",79066.00,79173.50,77630.73,78131.43,25895799905.09,1565043380477.47,BTC
"Friday, May 15, 2026",81046.87,81634.85,78635.36,79065.68,38183347367.97,1583684360498.93,BTC
"Thursday, May 14, 2026",79276.95,82005.96,78909.68,81051.25,43731663431.17,1623324627777.33,BTC
"Wednesday, May 13, 2026",80476.79,81276.67,78725.50,79277.11,34075428359.27,1587835683987.43,BTC
"Tuesday, May 12, 2026",81725.35,81753.03,79832.10,80477.50,32186688600.05,1611832520148.75,BTC
"Monday, May 11, 2026",82139.04,82326.23,80451.42,81728.30,32409774918.54,1636806311754.36,BTC
"Sunday, May 10, 2026",80665.61,82430.17,80274.13,82138.93,26965971076.72,1645048898713.72,BTC
"Saturday, May 9, 2026",80187.74,81030.07,80119.93,80664.37,18102086996.28,1615500437175.62,BTC
